gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,OnlineSecurity_bin,OnlineBackup_bin,DeviceProtection_bin,TechSupport_bin,StreamingTV_bin,StreamingMovies_bin,NumAddOnServices,HasSecuritySupport,HasStreaming,IsMonthToMonth,IsLongTermContract,IsAutoPayment,IsElectronicCheck,AvgChargePerMonth,ChargeGap,TenureGroup,TenureFlag_Short,HighMonthlyCharges,HighTotalCharges
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,1,0,0,0,0,1,0,0,1,0,0,1,14.925,0.0,0_12,1,0,0
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,1,0,1,0,0,0,2,1,0,0,1,0,0,53.98571428571429,-46.80000000000018,25_48,0,0,1
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,1,0,0,0,0,2,1,0,1,0,0,0,36.050000000000004,0.45000000000000284,0_12,1,0,0
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,1,0,1,1,0,0,3,1,0,0,1,1,0,40.016304347826086,-62.74999999999977,25_48,0,0,1
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0,0,0,0,0,0,0,0,0,1,0,0,1,50.550000000000004,10.25,0_12,1,1,0
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0,0,1,0,1,1,3,0,1,1,0,0,1,91.16666666666667,23.299999999999955,0_12,1,1,0
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,1,0,0,1,0,2,0,1,1,0,1,0,84.75652173913043,-10.799999999999727,13_24,0,1,1
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,1,0,0,0,0,0,1,1,0,1,0,0,0,27.44545454545454,4.399999999999977,0_12,1,0,0
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,0,0,1,1,1,1,4,1,1,1,0,0,1,105.03620689655173,111.65000000000009,25_48,0,1,1
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,1,1,0,0,0,0,2,1,0,0,1,1,0,55.364285714285714,6.650000000000091,49_plus,0,0,1
