gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,OnlineSecurity_bin,OnlineBackup_bin,DeviceProtection_bin,TechSupport_bin,StreamingTV_bin,StreamingMovies_bin,NumAddOnServices,HasSecuritySupport,HasStreaming,IsMonthToMonth,IsLongTermContract,IsAutoPayment,IsElectronicCheck,AvgChargePerMonth,ChargeGap,TenureGroup,MonthlyCharges_IsMonthToMonth,MonthlyCharges_SeniorCitizen,Tenure_MonthlyCharges
Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),94.55,6078.75,1,1,1,1,0,0,4,1,0,0,1,1,0,92.10227272727273,-67.0,49_plus,0.0,0.0,6145.75
Male,0,No,No,26,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,35.75,1022.5,0,0,1,1,0,0,2,1,0,1,0,0,1,37.870370370370374,93.0,25_48,35.75,0.0,929.5
Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),90.2,6297.65,0,1,1,1,0,0,3,1,0,0,1,1,0,91.27028985507246,164.04999999999927,49_plus,0.0,0.0,6133.6
Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.3,235.05,0,1,0,0,0,1,2,0,1,1,0,0,1,58.7625,-17.849999999999966,0_12,84.3,0.0,252.89999999999998
Female,0,Yes,No,49,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),40.65,2070.75,1,0,0,0,1,0,2,1,1,1,0,1,0,41.415,78.90000000000009,49_plus,40.65,0.0,1991.85
Female,1,Yes,No,64,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),97.0,6430.9,1,1,1,0,0,1,4,1,1,0,1,1,0,98.93692307692307,222.89999999999964,49_plus,0.0,97.0,6208.0
Male,0,No,No,7,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),64.3,445.95,0,0,1,1,1,0,3,1,1,1,0,1,0,55.74375,-4.149999999999977,0_12,64.3,0.0,450.09999999999997
Male,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.2,2157.3,0,1,0,0,1,1,3,0,1,1,0,0,0,93.79565217391306,106.90000000000009,13_24,93.2,0.0,2050.4
Male,0,Yes,Yes,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,54.35,1647.0,0,0,1,1,0,0,2,1,0,1,0,0,0,51.46875,-37.850000000000136,25_48,54.35,0.0,1684.8500000000001
Female,0,No,No,6,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,47.95,305.1,0,0,1,0,1,1,3,0,1,1,0,0,1,43.58571428571429,17.399999999999977,0_12,47.95,0.0,287.70000000000005
Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.2,19.2,0,0,0,0,0,0,0,0,0,1,0,0,0,9.6,0.0,0_12,19.2,0.0,19.2
Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.05,434.5,1,0,0,0,0,0,1,1,0,1,0,0,1,62.07142857142857,-39.799999999999955,0_12,79.05,0.0,474.29999999999995
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.8,1001.2,1,0,0,0,0,0,1,1,0,1,0,0,1,77.01538461538462,43.600000000000136,0_12,79.8,0.0,957.5999999999999
Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,6751.35,0,0,1,1,1,1,4,1,1,1,0,0,1,108.89274193548388,264.0000000000009,49_plus,106.35,0.0,6487.349999999999
Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.65,779.25,0,0,0,0,0,0,0,0,0,0,1,1,0,17.710227272727273,-65.69999999999993,25_48,0.0,0.0,844.9499999999999
Female,1,No,No,30,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40.3,1172.95,0,0,1,0,1,0,2,0,1,1,0,0,1,37.83709677419355,-36.049999999999955,25_48,40.3,40.3,1209.0
Male,0,No,No,22,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),55.15,1193.05,0,1,0,1,0,0,2,1,0,0,1,1,0,51.87173913043478,-20.25,13_24,0.0,0.0,1213.3
Female,0,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.05,1255.1,0,0,0,0,0,0,0,0,0,0,1,0,0,23.681132075471698,56.49999999999977,49_plus,0.0,0.0,1198.6000000000001
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.25,56.25,0,0,0,0,0,1,1,0,1,1,0,0,1,28.125,0.0,0_12,56.25,0.0,56.25
