threshold,accuracy,precision,recall,f1,f_beta,cm,classification_report
0.1,0.5067519545131486,0.3484848484848485,0.983957219251337,0.5146853146853146,0.7210031347962382,"[[345, 688], [6, 368]]","              precision    recall  f1-score   support

           0       0.98      0.33      0.50      1033
           1       0.35      0.98      0.51       374

    accuracy                           0.51      1407
   macro avg       0.67      0.66      0.51      1407
weighted avg       0.81      0.51      0.50      1407
"
0.11,0.5167022032693674,0.3528846153846154,0.9812834224598931,0.5190947666195191,0.7235804416403786,"[[360, 673], [7, 367]]","              precision    recall  f1-score   support

           0       0.98      0.35      0.51      1033
           1       0.35      0.98      0.52       374

    accuracy                           0.52      1407
   macro avg       0.67      0.66      0.52      1407
weighted avg       0.81      0.52      0.52      1407
"
0.12,0.5230987917555082,0.3556851311953353,0.9786096256684492,0.5217391304347826,0.7247524752475247,"[[370, 663], [8, 366]]","              precision    recall  f1-score   support

           0       0.98      0.36      0.52      1033
           1       0.36      0.98      0.52       374

    accuracy                           0.52      1407
   macro avg       0.67      0.67      0.52      1407
weighted avg       0.81      0.52      0.52      1407
"
0.13,0.5294953802416489,0.35826771653543305,0.9732620320855615,0.5237410071942447,0.7245222929936306,"[[381, 652], [10, 364]]","              precision    recall  f1-score   support

           0       0.97      0.37      0.54      1033
           1       0.36      0.97      0.52       374

    accuracy                           0.53      1407
   macro avg       0.67      0.67      0.53      1407
weighted avg       0.81      0.53      0.53      1407
"
0.13999999999999999,0.5358919687277897,0.3611940298507463,0.9705882352941176,0.5264684554024656,0.7257097161135546,"[[391, 642], [11, 363]]","              precision    recall  f1-score   support

           0       0.97      0.38      0.54      1033
           1       0.36      0.97      0.53       374

    accuracy                           0.54      1407
   macro avg       0.67      0.67      0.54      1407
weighted avg       0.81      0.54      0.54      1407
"
0.14999999999999997,0.5451314854299929,0.36538461538461536,0.9652406417112299,0.5301027900146843,0.7266505636070854,"[[406, 627], [13, 361]]","              precision    recall  f1-score   support

           0       0.97      0.39      0.56      1033
           1       0.37      0.97      0.53       374

    accuracy                           0.55      1407
   macro avg       0.67      0.68      0.54      1407
weighted avg       0.81      0.55      0.55      1407
"
0.15999999999999998,0.5543710021321961,0.3699897225077081,0.9625668449197861,0.534521158129176,0.7290400972053463,"[[420, 613], [14, 360]]","              precision    recall  f1-score   support

           0       0.97      0.41      0.57      1033
           1       0.37      0.96      0.53       374

    accuracy                           0.55      1407
   macro avg       0.67      0.68      0.55      1407
weighted avg       0.81      0.55      0.56      1407
"
0.16999999999999998,0.5600568585643213,0.37279335410176534,0.9598930481283422,0.537023186237846,0.7299715331435543,"[[429, 604], [15, 359]]","              precision    recall  f1-score   support

           0       0.97      0.42      0.58      1033
           1       0.37      0.96      0.54       374

    accuracy                           0.56      1407
   macro avg       0.67      0.69      0.56      1407
weighted avg       0.81      0.56      0.57      1407
"
0.17999999999999997,0.566453447050462,0.3760504201680672,0.9572192513368984,0.5399698340874811,0.7312091503267973,"[[439, 594], [16, 358]]","              precision    recall  f1-score   support

           0       0.96      0.42      0.59      1033
           1       0.38      0.96      0.54       374

    accuracy                           0.57      1407
   macro avg       0.67      0.69      0.57      1407
weighted avg       0.81      0.57      0.58      1407
"
0.18999999999999995,0.5735607675906184,0.3797872340425532,0.9545454545454546,0.54337899543379,0.7327586206896551,"[[450, 583], [17, 357]]","              precision    recall  f1-score   support

           0       0.96      0.44      0.60      1033
           1       0.38      0.95      0.54       374

    accuracy                           0.57      1407
   macro avg       0.67      0.70      0.57      1407
weighted avg       0.81      0.57      0.58      1407
"
