threshold,accuracy,precision,recall,f1,f_beta,cm,classification_report
0.1,0.5323383084577115,0.3594059405940594,0.9705882352941176,0.5245664739884393,0.7242617717478053,"[[386, 647], [11, 363]]","              precision    recall  f1-score   support

           0       0.97      0.37      0.54      1033
           1       0.36      0.97      0.52       374

    accuracy                           0.53      1407
   macro avg       0.67      0.67      0.53      1407
weighted avg       0.81      0.53      0.54      1407
"
0.11,0.5394456289978679,0.3627254509018036,0.9679144385026738,0.5276967930029155,0.7257417802726543,"[[397, 636], [12, 362]]","              precision    recall  f1-score   support

           0       0.97      0.38      0.55      1033
           1       0.36      0.97      0.53       374

    accuracy                           0.54      1407
   macro avg       0.67      0.68      0.54      1407
weighted avg       0.81      0.54      0.54      1407
"
0.12,0.5479744136460555,0.3665987780040733,0.9625668449197861,0.5309734513274337,0.7263922518159807,"[[411, 622], [14, 360]]","              precision    recall  f1-score   support

           0       0.97      0.40      0.56      1033
           1       0.37      0.96      0.53       374

    accuracy                           0.55      1407
   macro avg       0.67      0.68      0.55      1407
weighted avg       0.81      0.55      0.56      1407
"
0.13,0.5593461265103056,0.3724066390041494,0.9598930481283422,0.5366218236173393,0.7296747967479674,"[[428, 605], [15, 359]]","              precision    recall  f1-score   support

           0       0.97      0.41      0.58      1033
           1       0.37      0.96      0.54       374

    accuracy                           0.56      1407
   macro avg       0.67      0.69      0.56      1407
weighted avg       0.81      0.56      0.57      1407
"
0.13999999999999999,0.5692963752665245,0.3771186440677966,0.9518716577540107,0.5402124430955993,0.7295081967213115,"[[445, 588], [18, 356]]","              precision    recall  f1-score   support

           0       0.96      0.43      0.59      1033
           1       0.38      0.95      0.54       374

    accuracy                           0.57      1407
   macro avg       0.67      0.69      0.57      1407
weighted avg       0.81      0.57      0.58      1407
"
0.14999999999999997,0.5756929637526652,0.38074866310160427,0.9518716577540107,0.5439266615737204,0.7322089675030852,"[[454, 579], [18, 356]]","              precision    recall  f1-score   support

           0       0.96      0.44      0.60      1033
           1       0.38      0.95      0.54       374

    accuracy                           0.58      1407
   macro avg       0.67      0.70      0.57      1407
weighted avg       0.81      0.58      0.59      1407
"
0.15999999999999998,0.5835110163468372,0.38503253796095444,0.9491978609625669,0.5478395061728395,0.7340777502067825,"[[466, 567], [19, 355]]","              precision    recall  f1-score   support

           0       0.96      0.45      0.61      1033
           1       0.39      0.95      0.55       374

    accuracy                           0.58      1407
   macro avg       0.67      0.70      0.58      1407
weighted avg       0.81      0.58      0.60      1407
"
0.16999999999999998,0.5870646766169154,0.38663745892661555,0.9438502673796791,0.5485625485625486,0.7326691573266916,"[[473, 560], [21, 353]]","              precision    recall  f1-score   support

           0       0.96      0.46      0.62      1033
           1       0.39      0.94      0.55       374

    accuracy                           0.59      1407
   macro avg       0.67      0.70      0.58      1407
weighted avg       0.81      0.59      0.60      1407
"
0.17999999999999997,0.5941719971570718,0.3909191583610188,0.9438502673796791,0.552858261550509,0.7357232180075032,"[[483, 550], [21, 353]]","              precision    recall  f1-score   support

           0       0.96      0.47      0.63      1033
           1       0.39      0.94      0.55       374

    accuracy                           0.59      1407
   macro avg       0.67      0.71      0.59      1407
weighted avg       0.81      0.59      0.61      1407
"
0.18999999999999995,0.6005685856432125,0.3943820224719101,0.9385026737967914,0.555379746835443,0.7355406538139145,"[[494, 539], [23, 351]]","              precision    recall  f1-score   support

           0       0.96      0.48      0.64      1033
           1       0.39      0.94      0.56       374

    accuracy                           0.60      1407
   macro avg       0.67      0.71      0.60      1407
weighted avg       0.81      0.60      0.62      1407
"
0.19999999999999996,0.6083866382373845,0.3993174061433447,0.9385026737967914,0.5602553870710295,0.7389473684210527,"[[505, 528], [23, 351]]","              precision    recall  f1-score   support

           0       0.96      0.49      0.65      1033
           1       0.40      0.94      0.56       374

    accuracy                           0.61      1407
   macro avg       0.68      0.71      0.60      1407
weighted avg       0.81      0.61      0.62      1407
"
